Date,POP_orig,POP_dest,GDP_orig,GDP_dest,AGI_orig,AGI_dest,LABF_orig,LABF_orig,DEN_orig,DEN_dest,SUR_orig,SUR_dest,DIST,Mig
1960,7.943252401,7.06019267,9.693579821,10.08908285,3.554390928,8.909793911,56.50411685,61.0339042,1.684661939,2.531602484,6.281244779,4.618361931,4.0553908,3.241048151
1961,7.954717059,7.065904922,9.717822457,10.13013535,3.521754228,9.01599824,55.9963222,61.03716725,1.696661939,2.537502484,6.281244779,4.618361931,4.0553908,3.392169149
1962,7.966227987,7.072091338,9.725764504,10.16575038,3.478855882,9.131367553,55.54116238,61.2596826,1.708172867,2.5436889,6.281244779,4.618361931,4.0553908,3.519434195
1963,7.977793521,7.077947765,9.715872672,10.20115782,3.429656174,9.253802765,55.12956614,61.60855628,1.719738401,2.549545327,6.281244779,4.618361931,4.0553908,2.946943271
1964,7.989435258,7.083757675,9.731004809,10.27182722,3.378995278,9.375795378,54.76403191,61.92963496,1.731380138,2.555355237,6.281244779,4.618361931,4.0553908,3.425208051
1965,8.001158324,7.089719066,9.735660154,10.32223143,3.330109543,9.495887771,54.45199242,62.1457317,1.743103204,2.561316628,6.281244779,4.618361931,4.0553908,3.617000341
1966,8.012944406,7.095387351,9.747593691,10.35921305,3.327417447,9.615708172,54.10556613,62.24461358,1.754889286,2.566984913,6.281244779,4.618361931,4.0553908,3.515343893
1967,8.024754765,7.100308533,9.753411195,10.39945846,3.320060494,9.731732644,53.81222947,62.3035463,1.766699645,2.571906095,6.281244779,4.618361931,4.0553908,3.216693599
1968,8.036548759,7.104818885,9.849816381,10.44431975,3.311136713,9.844951363,53.59331654,62.33396373,1.778493639,2.576416447,6.281244779,4.618361931,4.0553908,3.118264726
1969,8.048280821,7.109847881,9.921031852,10.53193783,3.304368722,9.959652297,53.47428098,62.3862593,1.790225701,2.581445443,6.281244779,4.618361931,4.0553908,2.960946196
1970,8.059916083,7.115228497,9.961453602,10.58166204,3.301533302,10.07965502,53.46086594,62.49430566,1.801860963,2.586826059,6.281244779,4.618361931,4.0553908,3.055378331
1971,8.071440665,7.120392839,9.970046224,10.64913152,3.333400237,10.20059276,53.38044463,62.6513508,1.813385545,2.591990401,6.281244779,4.618361931,4.0553908,3.067070856
